Date,Bitcoin (BTC),Ethereum (ETH),BNB Chain (BNB),Cardano (ADA),Solana (SOL),Terra (LUNA),Avalanche (AVAX),Polkadot (DOT),Polygon (MATIC),Cosmos (ATOM),Algorand (ALGO),NEAR (NEAR)
2020-10-15,1.01,1.0,1.02,1.0,0.98,1.02,0.99,0.98,1.0,1.01,0.96,0.96
2020-10-16,0.99,0.96,0.97,0.97,0.93,1.0,0.97,0.93,0.95,0.94,0.92,0.7
2020-10-17,0.99,0.97,0.98,0.99,0.95,0.99,1.01,0.95,0.97,0.95,0.96,0.69
2020-10-18,1.01,1.0,0.99,1.0,0.96,0.98,0.99,0.98,0.98,1.01,0.96,0.74
2020-10-19,1.03,1.0,0.97,1.01,0.89,1.0,0.97,0.95,0.95,0.96,0.93,0.68
2020-10-20,1.04,0.97,0.93,0.96,0.82,0.97,0.91,0.93,0.9,0.88,0.87,0.58
2020-10-21,1.12,1.03,0.97,0.99,0.82,0.98,0.95,0.99,0.95,0.91,0.92,0.6
2020-10-22,1.14,1.09,0.99,1.03,0.85,0.99,1.04,1.02,1.01,0.95,0.96,0.64
2020-10-23,1.13,1.08,0.99,1.01,0.85,0.99,1.02,1.02,0.99,0.94,0.94,0.62
2020-10-24,1.15,1.09,0.99,1.01,0.83,0.97,1.01,1.04,1.02,0.97,0.94,0.63
2020-10-25,1.14,1.07,0.98,0.99,0.78,0.96,1.0,1.04,1.01,0.92,0.92,0.72
2020-10-26,1.14,1.04,1.01,0.96,0.73,0.95,1.0,1.12,0.96,0.9,0.89,0.67
2020-10-27,1.19,1.06,1.02,0.96,0.74,0.97,0.99,1.12,0.92,0.9,0.88,0.65
2020-10-28,1.16,1.03,0.98,0.92,0.64,0.96,0.98,1.04,0.88,0.84,0.84,0.6
2020-10-29,1.18,1.02,0.97,0.89,0.62,0.94,0.91,0.97,0.81,0.81,0.78,0.59
2020-10-30,1.19,1.01,0.92,0.87,0.62,0.95,0.9,0.98,0.81,0.81,0.78,0.54
2020-10-31,1.21,1.02,0.92,0.87,0.67,0.95,0.88,1.0,0.8,0.8,0.76,0.55
